Date,Impressions,CTR,Clicks,CPC,Cost,ROI,Revenue,Device,Market
2023-01-01,4548582,0.474,2156027,1.094,2358693.538,0.932,2198302.377,Mobile,SG
2023-01-01,6673705,0.631,4211107,0.171,720099.297,1.496,1077268.548,Desktop,MY
2023-01-01,3345549,0.475,1589135,1.849,2938310.615,1.267,3722839.549,Mobile,TH
2023-01-01,4937538,0.264,1303510,1.657,2159916.07,1.418,3062760.987,Mobile,NL
2023-01-01,4558842,0.352,1604712,0.897,1439426.664,1.502,2162018.849,Mobile,FR
2023-01-01,6363913,0.096,610935,1.236,755115.66,0.861,650154.583,Mobile,AE
2023-01-01,1598740,0.722,1154290,0.234,270103.86,1.304,352215.433,Desktop,AR
2023-01-01,8588829,0.61,5239185,1.207,6323696.295,1.21,7651672.517,Mobile,DK
2023-01-01,9582578,0.991,9496334,0.765,7264695.51,0.952,6915990.126,Desktop,CA
2023-01-01,2708680,0.189,511940,0.702,359381.88,1.176,422633.091,Mobile,VN
2023-01-01,5934008,0.343,2035364,0.435,885383.34,1.521,1346668.06,Desktop,EG
2023-01-01,4209305,0.618,2601350,0.892,2320404.2,1.2,2784485.04,Mobile,ID
2023-01-01,5599783,0.495,2771892,1.479,4099628.268,0.818,3353495.923,Mobile,AT
2023-01-01,7600554,0.889,6756892,0.798,5391999.816,1.277,6885583.765,Desktop,VN
2023-01-02,9880841,0.253,2499852,0.701,1752396.252,0.755,1323059.17,Mobile,PT
2023-01-02,501379,0.226,113311,2.321,262994.831,0.967,254316.002,Mobile,EG
2023-01-02,1391523,0.726,1010245,1.907,1926537.215,1.409,2714490.936,Mobile,IL
2023-01-02,7457775,0.979,7301161,1.269,9265173.309,1.296,12007664.608,Mobile,TH
2023-01-02,4333672,0.174,754058,1.539,1160495.262,1.12,1299754.693,Mobile,DK
2023-01-02,105788,0.5,52894,0.534,28245.396,1.264,35702.181,Desktop,FR
2023-01-02,7019598,0.135,947645,0.655,620707.475,1.325,822437.404,Desktop,MY
2023-01-02,4026575,0.951,3829272,1.463,5602224.936,1.324,7417345.815,Mobile,IT
2023-01-02,6611840,0.078,515723,1.997,1029898.831,1.316,1355346.862,Mobile,DE
2023-01-02,3706677,0.835,3095075,2.261,6997964.575,1.082,7571797.67,Desktop,FI
2023-01-02,7192499,0.512,3682559,0.996,3667828.764,1.328,4870876.599,Desktop,FI
2023-01-02,6380979,0.174,1110290,2.315,2570321.35,0.772,1984288.082,Desktop,DK
2023-01-02,6805829,0.469,3191933,0.202,644770.466,1.269,818213.721,Mobile,JP
2023-01-02,44760,0.987,44178,1.034,45680.052,1.013,46273.893,Mobile,EG
2023-01-03,4227459,0.365,1543022,0.441,680472.702,1.403,954703.201,Mobile,RU
2023-01-03,1703163,0.241,410462,0.246,100973.652,1.029,103901.888,Mobile,ES
2023-01-03,4614305,0.417,1924165,1.484,2855460.86,0.793,2264380.462,Mobile,AT
2023-01-03,2991852,0.699,2091304,1.488,3111860.352,1.29,4014299.854,Mobile,AT
2023-01-03,5324085,0.781,4158110,2.058,8557390.38,0.761,6512174.079,Desktop,DK
2023-01-03,3130700,0.941,2945988,2.318,6828800.184,1.195,8160416.22,Mobile,CA
2023-01-03,8805903,0.638,5618166,1.94,10899242.04,0.864,9416945.123,Desktop,CA
2023-01-03,9712034,0.926,8993343,1.792,16116070.656,1.492,24045177.419,Desktop,UK
2023-01-03,7452634,0.616,4590822,2.264,10393621.008,1.344,13969026.635,Desktop,EG
